FAMID,AGEFAM,CRNTWG,RETAGE,SPENDING,FINCAP
1,94.2,0,69,22601,27645
2,31.5,61844,74,58724,-295788
3,58.4,106691,64,56216,522747
4,83.1,0,73,73819,726202
5,77.3,0,67,43784,604079
6,53,32995,66,22069,77102
7,34.7,23142,56,21667,171342
8,52.5,70738,74,51051,-137696
9,63.1,66436,65,37851,580915
10,74.2,0,67,77855,1140249
11,80.1,0,57,57141,564476
12,79.1,0,63,46093,544199
13,65.4,127789,74,72111,337079
14,71.5,0,66,22816,358410
15,78.4,0,63,73573,837484
16,32.9,28382,60,26830,34053
17,43.7,76628,55,66484,841085
18,53,63747,64,42336,301645
19,43.1,85332,74,69657,-238686
20,83.2,0,64,46561,447161
21,84.2,0,63,62438,488328
22,31.3,28108,71,27527,-48830
23,70.4,87450,72,61397,869702
24,54.2,89831,57,67604,1172684
25,84.8,0,55,63208,522018
26,46.4,52151,60,45694,464063
27,46.1,94581,73,76509,-233415
28,48.6,34289,73,22187,-178157
29,41.2,65081,69,55988,9192
30,55.7,84241,69,53619,147020
31,80,0,67,56058,647910
32,50.8,45935,68,33188,38608
33,58.3,84405,62,70951,1163698
34,66.9,67075,68,44101,758942
35,36.6,28520,55,25134,173210
36,86.6,0,65,66330,488435
37,42.7,85003,69,67440,-122522
38,67.9,0,62,37951,643340
39,59.3,105950,68,63589,440505
40,38.5,78140,62,68380,236679
41,66.8,0,61,61078,990883
42,52.4,76972,63,48934,379470
43,74.4,0,70,77485,1072711
44,89.7,0,57,69944,419547
45,91.6,0,59,72770,53979
46,71.1,0,71,59659,944456
47,76.9,0,61,48155,702024
48,43.7,29567,74,23425,5132
49,61.4,50997,75,31488,10306
50,51.5,82006,56,60781,940818
51,38.5,70029,70,57865,-149993
52,39.4,93529,58,74347,354463
53,41,42617,56,34457,279022
54,31.2,37087,63,35881,56098
55,61.6,73047,74,38552,-17572
56,64.1,0,58,26463,535316
57,33.3,38919,56,36111,258223
58,42.7,92335,73,67439,-417490
59,32.3,69578,56,66982,416650
60,42.8,34861,71,27210,-48285
61,81.7,0,55,30469,427898
62,59.1,105250,66,78399,899237
63,93.3,0,74,54624,141049
64,45.3,97309,66,70229,6898
65,65.4,0,56,27595,558517
66,56.7,51405,68,35325,250812
67,86.2,0,65,69086,468486
68,30.8,59471,61,57905,-19978
69,69.7,0,59,48353,894803
70,79.3,0,68,58355,636901
71,49.6,44340,65,34574,157908
72,67.9,94812,73,39578,274180
73,64.4,120248,69,77769,982693
74,60.9,76789,69,50560,489016
75,74.8,0,57,42327,520077
76,89.9,0,67,42816,266753
77,76.3,0,64,19967,267651
78,83,0,63,67033,626496
79,75,0,70,35963,480964
